snr,seed,method,classifier,accuracy,macro_f1,f1_point,f1_cyst,f1_dense,best_params
10,0,Raw RF,Logistic Regression,0.37666666666666665,0.37592389550379046,0.330749354005168,0.3970223325062035,0.4,{'C': 0.1}
10,0,Raw RF,Random Forest,0.37833333333333335,0.37384568139716884,0.3923444976076555,0.4,0.32919254658385094,"{'max_depth': 20, 'n_estimators': 200}"
10,0,Raw RF,SVM-RBF,0.365,0.2310222593727748,0.0,0.5128865979381443,0.18018018018018017,"{'C': 0.1, 'gamma': 0.1}"
10,0,AE Latent,Logistic Regression,0.34,0.3397156788142787,0.3252032520325203,0.32941176470588235,0.3645320197044335,{'C': 0.1}
10,0,AE Latent,Random Forest,0.37333333333333335,0.3691877365745094,0.4063926940639269,0.37701149425287356,0.3241590214067278,"{'max_depth': 10, 'n_estimators': 100}"
10,0,AE Latent,SVM-RBF,0.36666666666666664,0.2532822942305701,0.06306306306306306,0.5092838196286472,0.1875,"{'C': 1.0, 'gamma': 'scale'}"
10,0,PCA,Logistic Regression,0.32666666666666666,0.3260360598523491,0.3471882640586797,0.2992125984251969,0.33170731707317075,{'C': 0.1}
10,0,PCA,Random Forest,0.32666666666666666,0.32629048807803246,0.29457364341085274,0.355,0.32929782082324455,"{'max_depth': None, 'n_estimators': 200}"
10,0,PCA,SVM-RBF,0.31166666666666665,0.2921781632851913,0.21864951768488747,0.2571428571428571,0.4007421150278293,"{'C': 0.1, 'gamma': 0.01}"
10,1,Raw RF,Logistic Regression,0.3333333333333333,0.3333568313520198,0.3103448275862069,0.3359173126614987,0.3538083538083538,{'C': 0.1}
10,1,Raw RF,Random Forest,0.345,0.3426043600087947,0.36607142857142855,0.34532374100719426,0.3164179104477612,"{'max_depth': 20, 'n_estimators': 200}"
10,1,Raw RF,SVM-RBF,0.3516666666666667,0.3337860680219897,0.3058823529411765,0.4426877470355731,0.2527881040892193,"{'C': 1.0, 'gamma': 0.1}"
10,1,AE Latent,Logistic Regression,0.38,0.37993157168527786,0.37735849056603776,0.359375,0.4030612244897959,{'C': 0.1}
10,1,AE Latent,Random Forest,0.325,0.32278319376923625,0.35730858468677495,0.33004926108374383,0.2809917355371901,"{'max_depth': None, 'n_estimators': 100}"
10,1,AE Latent,SVM-RBF,0.35833333333333334,0.31107847210027584,0.3288409703504043,0.4477124183006536,0.15668202764976957,"{'C': 0.1, 'gamma': 0.1}"
10,1,PCA,Logistic Regression,0.32166666666666666,0.3218434911179254,0.3309002433090024,0.30392156862745096,0.33070866141732286,{'C': 0.1}
10,1,PCA,Random Forest,0.33,0.3284199974648618,0.289544235924933,0.31862745098039214,0.37708830548926014,"{'max_depth': 20, 'n_estimators': 100}"
10,1,PCA,SVM-RBF,0.345,0.3363565863419457,0.31362467866323906,0.26900584795321636,0.42643923240938164,"{'C': 10.0, 'gamma': 0.1}"
10,2,Raw RF,Logistic Regression,0.3383333333333333,0.33833951802314033,0.3471882640586797,0.3520408163265306,0.3157894736842105,{'C': 10.0}
10,2,Raw RF,Random Forest,0.35,0.3489912174223582,0.3648960739030023,0.34579439252336447,0.336283185840708,"{'max_depth': 20, 'n_estimators': 100}"
10,2,Raw RF,SVM-RBF,0.36333333333333334,0.22551581802980605,0.0,0.5121638924455826,0.1643835616438356,"{'C': 0.1, 'gamma': 0.1}"
10,2,AE Latent,Logistic Regression,0.345,0.3442655194416487,0.2992125984251969,0.3476190476190476,0.38596491228070173,{'C': 0.1}
10,2,AE Latent,Random Forest,0.3383333333333333,0.33704352898081774,0.357487922705314,0.34679334916864607,0.30684931506849317,"{'max_depth': None, 'n_estimators': 200}"
10,2,AE Latent,SVM-RBF,0.365,0.36477096812731463,0.3665893271461717,0.37,0.35772357723577236,"{'C': 10.0, 'gamma': 0.1}"
10,2,PCA,Logistic Regression,0.3233333333333333,0.32331193832663246,0.3258145363408521,0.32432432432432434,0.3197969543147208,{'C': 10.0}
10,2,PCA,Random Forest,0.34833333333333333,0.34677990643936657,0.3152454780361757,0.32225063938618925,0.4028436018957346,"{'max_depth': None, 'n_estimators': 200}"
10,2,PCA,SVM-RBF,0.36,0.349559251708573,0.2913165266106443,0.3273809523809524,0.42998027613412226,"{'C': 10.0, 'gamma': 0.1}"
10,3,Raw RF,Logistic Regression,0.35833333333333334,0.35745954286641296,0.38571428571428573,0.3289817232375979,0.35768261964735515,{'C': 0.1}
10,3,Raw RF,Random Forest,0.35,0.35039396590159627,0.34684684684684686,0.34739454094292804,0.35694050991501414,"{'max_depth': 20, 'n_estimators': 100}"
10,3,Raw RF,SVM-RBF,0.3383333333333333,0.3153059553059553,0.2918918918918919,0.4254545454545455,0.22857142857142856,"{'C': 10.0, 'gamma': 0.1}"
10,3,AE Latent,Logistic Regression,0.36666666666666664,0.3659786944937788,0.3735224586288416,0.3324538258575198,0.39195979899497485,{'C': 0.1}
10,3,AE Latent,Random Forest,0.37,0.36852940982240806,0.3893805309734513,0.3597122302158273,0.3564954682779456,"{'max_depth': None, 'n_estimators': 100}"
10,3,AE Latent,SVM-RBF,0.34833333333333333,0.33767262888082006,0.396,0.343980343980344,0.27303754266211605,"{'C': 10.0, 'gamma': 'scale'}"
10,3,PCA,Logistic Regression,0.3416666666666667,0.3408696926738222,0.35648148148148145,0.33915211970074816,0.32697547683923706,{'C': 1.0}
10,3,PCA,Random Forest,0.36833333333333335,0.36499895414737377,0.4078091106290672,0.33424657534246577,0.35294117647058826,"{'max_depth': 20, 'n_estimators': 200}"
10,3,PCA,SVM-RBF,0.36,0.3461011978937473,0.40097799511002447,0.22653721682847897,0.4107883817427386,"{'C': 1.0, 'gamma': 'scale'}"
10,4,Raw RF,Logistic Regression,0.3383333333333333,0.3383315727558076,0.3374083129584352,0.33587786259541985,0.3417085427135678,{'C': 10.0}
10,4,Raw RF,Random Forest,0.35,0.34102621653296056,0.3902439024390244,0.3588621444201313,0.273972602739726,"{'max_depth': 20, 'n_estimators': 200}"
10,4,Raw RF,SVM-RBF,0.33666666666666667,0.30163290609351984,0.35402298850574715,0.3963302752293578,0.15454545454545454,"{'C': 0.1, 'gamma': 'scale'}"
