snr,class,model,mse
5,0,V1,0.003463619
5,0,V2,0.0034901546
5,0,V1,0.003463619
5,0,V2,0.003490157
5,0,V1,0.0034636185
5,0,V2,0.0034901588
5,0,V1,0.003463617
5,0,V2,0.003490159
5,0,V1,0.003463616
5,0,V2,0.003490156
5,0,V1,0.0034636185
5,0,V2,0.003490156
5,0,V1,0.003463618
5,0,V2,0.0034901607
5,0,V1,0.0034636196
5,0,V2,0.003490162
5,0,V1,0.003463616
5,0,V2,0.0034901595
5,0,V1,0.0034636166
5,0,V2,0.003490155
5,0,V1,0.0034636166
5,0,V2,0.0034901572
5,0,V1,0.0034636178
5,0,V2,0.003490161
5,0,V1,0.003463617
5,0,V2,0.0034901584
5,0,V1,0.003463619
5,0,V2,0.0034901584
5,0,V1,0.003463619
5,0,V2,0.0034901602
5,0,V1,0.0034636185
5,0,V2,0.0034901572
5,0,V1,0.0034636199
5,0,V2,0.003490157
5,0,V1,0.0034636161
5,0,V2,0.003490158
5,0,V1,0.003463618
5,0,V2,0.0034901565
5,0,V1,0.0034636185
5,0,V2,0.0034901567
5,0,V1,0.0034636194
5,0,V2,0.0034901584
5,0,V1,0.0034636182
5,0,V2,0.003490155
5,0,V1,0.0034636194
5,0,V2,0.0034901605
5,0,V1,0.003463619
5,0,V2,0.0034901574
5,0,V1,0.0034636175
5,0,V2,0.0034901612
5,0,V1,0.0034636185
5,0,V2,0.0034901586
5,0,V1,0.003463618
5,0,V2,0.0034901588
5,0,V1,0.0034636196
5,0,V2,0.003490157
5,0,V1,0.0034636178
5,0,V2,0.003490162
5,0,V1,0.0034636196
5,0,V2,0.0034901612
5,0,V1,0.003463618
5,0,V2,0.0034901602
5,0,V1,0.003463618
5,0,V2,0.003490163
5,0,V1,0.0034636185
5,0,V2,0.003490155
5,0,V1,0.0034636182
5,0,V2,0.0034901567
5,0,V1,0.0034636182
5,0,V2,0.0034901628
5,0,V1,0.0034636194
5,0,V2,0.0034901584
5,0,V1,0.0034636187
5,0,V2,0.0034901584
5,0,V1,0.0034636178
5,0,V2,0.0034901574
5,0,V1,0.003463619
5,0,V2,0.0034901607
5,0,V1,0.0034636185
5,0,V2,0.0034901567
5,0,V1,0.0034636187
5,0,V2,0.0034901614
5,0,V1,0.0034636175
5,0,V2,0.0034901602
5,0,V1,0.0034636194
5,0,V2,0.003490157
5,0,V1,0.0034636196
5,0,V2,0.0034901612
5,0,V1,0.0034636194
5,0,V2,0.0034901595
5,0,V1,0.0034636196
5,0,V2,0.0034901556
5,0,V1,0.0034636185
5,0,V2,0.003490156
5,0,V1,0.0034636192
5,0,V2,0.0034901577
5,0,V1,0.0034636194
5,0,V2,0.0034901584
5,0,V1,0.0034636178
5,0,V2,0.0034901598
5,0,V1,0.0034636175
5,0,V2,0.0034901553
5,0,V1,0.0034636185
5,0,V2,0.0034901602
5,0,V1,0.0034636182
5,0,V2,0.0034901572
5,0,V1,0.0034636164
5,0,V2,0.0034901588
5,0,V1,0.0034636182
5,0,V2,0.0034901595
5,0,V1,0.0034636175
5,0,V2,0.0034901565
5,0,V1,0.0034636196
5,0,V2,0.0034901593
5,0,V1,0.0034636178
5,0,V2,0.0034901565
5,0,V1,0.003463617
5,0,V2,0.0034901556
5,0,V1,0.0034636178
5,0,V2,0.003490156
5,0,V1,0.0034636161
5,0,V2,0.0034901588
5,0,V1,0.0034636185
5,0,V2,0.003490157
5,0,V1,0.0034636166
5,0,V2,0.0034901586
5,0,V1,0.0034636173
5,0,V2,0.003490156
5,0,V1,0.0034636182
5,0,V2,0.0034901572
5,0,V1,0.003463619
5,0,V2,0.003490156
5,0,V1,0.0034636194
5,0,V2,0.0034901588
5,0,V1,0.0034636164
5,0,V2,0.003490157
5,0,V1,0.003463618
5,0,V2,0.0034901574
5,0,V1,0.0034636196
5,0,V2,0.0034901584
5,0,V1,0.003463619
5,0,V2,0.0034901565
5,0,V1,0.003463618
5,0,V2,0.0034901546
5,0,V1,0.0034636178
5,0,V2,0.0034901588
5,0,V1,0.0034636173
5,0,V2,0.003490156
5,0,V1,0.0034636185
5,0,V2,0.0034901584
5,0,V1,0.0034636196
5,0,V2,0.0034901607
5,0,V1,0.0034636185
5,0,V2,0.00349016
5,0,V1,0.0034636178
5,0,V2,0.0034901612
5,0,V1,0.0034636185
5,0,V2,0.0034901598
5,0,V1,0.0034636196
5,0,V2,0.0034901618
5,0,V1,0.0034636175
5,0,V2,0.0034901577
5,0,V1,0.0034636199
5,0,V2,0.0034901556
5,0,V1,0.003463622
5,0,V2,0.0034901593
5,0,V1,0.0034636182
5,0,V2,0.0034901584
5,0,V1,0.0034636178
5,0,V2,0.0034901584
5,0,V1,0.0034636182
5,0,V2,0.0034901612
5,0,V1,0.0034636178
5,0,V2,0.003490158
5,0,V1,0.003463618
5,0,V2,0.0034901593
5,0,V1,0.0034636173
5,0,V2,0.0034901607
5,0,V1,0.0034636203
5,0,V2,0.0034901577
5,0,V1,0.003463618
5,0,V2,0.0034901577
5,0,V1,0.0034636196
5,0,V2,0.00349016
5,0,V1,0.0034636187
5,0,V2,0.0034901577
5,0,V1,0.003463619
5,0,V2,0.003490159
5,0,V1,0.0034636164
5,0,V2,0.0034901588
5,0,V1,0.0034636175
5,0,V2,0.0034901625
5,0,V1,0.0034636185
5,0,V2,0.0034901586
5,0,V1,0.0034636185
5,0,V2,0.003490155
5,0,V1,0.0034636182
5,0,V2,0.0034901537
5,0,V1,0.0034636182
5,0,V2,0.0034901593
5,1,V1,0.003463618
5,1,V2,0.003490157
5,1,V1,0.0034636185
5,1,V2,0.0034901607
5,1,V1,0.0034636199
5,1,V2,0.0034901584
5,1,V1,0.0034636178
5,1,V2,0.0034901625
5,1,V1,0.0034636185
5,1,V2,0.003490157
5,1,V1,0.0034636175
5,1,V2,0.0034901577
5,1,V1,0.0034636175
5,1,V2,0.0034901614
5,1,V1,0.0034636164
5,1,V2,0.00349016
5,1,V1,0.003463618
5,1,V2,0.0034901584
5,1,V1,0.0034636166
5,1,V2,0.0034901598
5,1,V1,0.0034636166
5,1,V2,0.0034901542
5,1,V1,0.0034636194
5,1,V2,0.003490157
5,1,V1,0.003463619
5,1,V2,0.0034901593
5,1,V1,0.0034636194
5,1,V2,0.0034901607
5,1,V1,0.003463617
5,1,V2,0.0034901577
5,1,V1,0.0034636203
5,1,V2,0.003490156
5,1,V1,0.003463619
5,1,V2,0.003490158
5,1,V1,0.0034636196
5,1,V2,0.0034901572
5,1,V1,0.0034636185
5,1,V2,0.0034901584
5,1,V1,0.003463619
5,1,V2,0.0034901598
5,1,V1,0.0034636192
5,1,V2,0.0034901565
5,1,V1,0.0034636194
5,1,V2,0.0034901595
5,1,V1,0.0034636213
5,1,V2,0.0034901584
5,1,V1,0.0034636182
5,1,V2,0.0034901577
5,1,V1,0.0034636182
5,1,V2,0.0034901612
5,1,V1,0.0034636199
5,1,V2,0.0034901612
5,1,V1,0.0034636175
5,1,V2,0.0034901565
5,1,V1,0.0034636187
5,1,V2,0.003490163
5,1,V1,0.0034636199
5,1,V2,0.0034901593
5,1,V1,0.003463617
5,1,V2,0.0034901588
5,1,V1,0.003463619
5,1,V2,0.0034901586
5,1,V1,0.003463618
5,1,V2,0.0034901616
5,1,V1,0.0034636175
5,1,V2,0.0034901586
5,1,V1,0.0034636194
5,1,V2,0.0034901542
5,1,V1,0.0034636182
5,1,V2,0.0034901574
5,1,V1,0.003463618
5,1,V2,0.0034901574
5,1,V1,0.003463617
5,1,V2,0.0034901577
5,1,V1,0.003463619
5,1,V2,0.0034901588
5,1,V1,0.003463618
5,1,V2,0.0034901588
5,1,V1,0.0034636185
5,1,V2,0.0034901607
5,1,V1,0.0034636206
5,1,V2,0.0034901567
5,1,V1,0.0034636178
5,1,V2,0.0034901605
5,1,V1,0.0034636175
5,1,V2,0.003490162
5,1,V1,0.0034636187
5,1,V2,0.0034901565
5,1,V1,0.0034636185
5,1,V2,0.0034901558
5,1,V1,0.0034636182
5,1,V2,0.0034901565
5,1,V1,0.0034636175
