kernel_id,peak_freq_mhz,bandwidth_mhz,bw_low_mhz,bw_high_mhz,q_factor,center_offset_mhz
0,11.71875,18.28125,1.71875,20.0,0.6410256410256411,6.71875
1,6.875,7.34375,5.9375,13.28125,0.9361702127659575,1.875
2,7.03125,14.0625,5.78125,19.84375,0.5,2.03125
3,15.625,20.0,0.0,20.0,0.78125,10.625
4,4.0625,15.78125,2.96875,18.75,0.25742574257425743,-0.9375
5,12.65625,8.90625,8.28125,17.1875,1.4210526315789473,7.65625
6,12.96875,5.9375,11.875,17.8125,2.1842105263157894,7.96875
7,17.1875,12.8125,5.3125,18.125,1.3414634146341464,12.1875
8,15.9375,20.0,0.0,20.0,0.796875,10.9375
9,5.46875,20.0,0.0,20.0,0.2734375,0.46875
10,3.125,3.4375,1.5625,5.0,0.9090909090909091,-1.875
11,16.71875,20.0,0.0,20.0,0.8359375,11.71875
12,4.21875,10.78125,3.4375,14.21875,0.391304347826087,-0.78125
13,7.03125,14.84375,5.15625,20.0,0.47368421052631576,2.03125
14,8.75,19.0625,0.0,19.0625,0.45901639344262296,3.75
15,18.125,19.0625,0.0,19.0625,0.9508196721311475,13.125
