kernel_id,peak_freq_untrained_mhz,peak_freq_trained_mhz,freq_shift_mhz,q_untrained,q_trained,bw_untrained_mhz,bw_trained_mhz
0,14.21875,11.71875,-2.5,1.2638888888888888,0.6410256410256411,11.25,18.28125
1,3.59375,6.875,3.28125,0.20353982300884957,0.9361702127659575,17.65625,7.34375
2,11.875,7.03125,-4.84375,0.9743589743589743,0.5,12.1875,14.0625
3,8.4375,15.625,7.1875,0.421875,0.78125,20.0,20.0
4,13.4375,4.0625,-9.375,1.72,0.25742574257425743,7.8125,15.78125
5,2.1875,12.65625,10.46875,0.16666666666666666,1.4210526315789473,13.125,8.90625
6,4.0625,12.96875,8.90625,0.24074074074074073,2.1842105263157894,16.875,5.9375
7,4.53125,17.1875,12.65625,0.35802469135802467,1.3414634146341464,12.65625,12.8125
8,11.25,15.9375,4.6875,1.5,0.796875,7.5,20.0
9,18.75,5.46875,-13.28125,1.0084033613445378,0.2734375,18.59375,20.0
10,9.0625,3.125,-5.9375,0.5,0.9090909090909091,18.125,3.4375
11,16.5625,16.71875,0.15625,3.6551724137931036,0.8359375,4.53125,20.0
12,8.59375,4.21875,-4.375,1.1458333333333333,0.391304347826087,7.5,10.78125
13,11.25,7.03125,-4.21875,1.2857142857142858,0.47368421052631576,8.75,14.84375
14,18.90625,8.75,-10.15625,1.475609756097561,0.45901639344262296,12.8125,19.0625
15,4.53125,18.125,13.59375,0.7837837837837838,0.9508196721311475,5.78125,19.0625
